generator      : claude-sonnet-5
prompts        : 679   cells: 4
already done   : 400
to generate    : 2316
  20/2316  fail=0  1.20/s
  40/2316  fail=0  1.34/s
  60/2316  fail=0  1.43/s
  80/2316  fail=0  1.44/s
  100/2316  fail=0  1.47/s
  120/2316  fail=0  1.50/s
  140/2316  fail=0  1.54/s
  160/2316  fail=0  1.52/s
  180/2316  fail=0  1.56/s
  200/2316  fail=0  1.53/s
  220/2316  fail=0  1.55/s
  240/2316  fail=0  1.54/s
  260/2316  fail=0  1.56/s
  280/2316  fail=0  1.56/s
  300/2316  fail=0  1.55/s
  320/2316  fail=0  1.56/s
  340/2316  fail=0  1.54/s
  360/2316  fail=0  1.56/s
  380/2316  fail=0  1.55/s
  400/2316  fail=0  1.56/s
  420/2316  fail=0  1.56/s
  440/2316  fail=0  1.55/s
  460/2316  fail=0  1.55/s
  480/2316  fail=0  1.54/s
  500/2316  fail=0  1.53/s
  520/2316  fail=0  1.52/s
  540/2316  fail=0  1.52/s
  560/2316  fail=0  1.51/s
  580/2316  fail=0  1.50/s
  600/2316  fail=0  1.49/s
  620/2316  fail=0  1.49/s
  640/2316  fail=0  1.48/s
  660/2316  fail=0  1.48/s
  680/2316  fail=0  1.48/s
  700/2316  fail=0  1.48/s
  720/2316  fail=0  1.48/s
  740/2316  fail=0  1.47/s
  760/2316  fail=8  1.46/s
  780/2316  fail=28  1.45/s
  800/2316  fail=48  1.44/s
  820/2316  fail=68  1.43/s
  840/2316  fail=88  1.43/s
  860/2316  fail=108  1.42/s
  880/2316  fail=128  1.41/s
  900/2316  fail=148  1.40/s
  920/2316  fail=168  1.40/s
  940/2316  fail=188  1.39/s
  960/2316  fail=208  1.38/s
  980/2316  fail=228  1.38/s
  1000/2316  fail=248  1.38/s
  1020/2316  fail=268  1.37/s
  1040/2316  fail=288  1.36/s
  1060/2316  fail=308  1.36/s
  1080/2316  fail=328  1.36/s
  1100/2316  fail=348  1.36/s
  1120/2316  fail=368  1.35/s
  1140/2316  fail=388  1.34/s
  1160/2316  fail=408  1.34/s
  1180/2316  fail=428  1.34/s
  1200/2316  fail=448  1.34/s
  1220/2316  fail=468  1.33/s
  1240/2316  fail=488  1.33/s
  1260/2316  fail=508  1.32/s
  1280/2316  fail=528  1.32/s
  1300/2316  fail=548  1.32/s
  1320/2316  fail=568  1.32/s
  1340/2316  fail=588  1.32/s
  1360/2316  fail=608  1.32/s
  1380/2316  fail=628  1.31/s
  1400/2316  fail=648  1.31/s
  1420/2316  fail=668  1.31/s
  1440/2316  fail=688  1.31/s
  1460/2316  fail=708  1.31/s
  1480/2316  fail=728  1.30/s
  1500/2316  fail=748  1.30/s
  1520/2316  fail=768  1.30/s
  1540/2316  fail=788  1.30/s
  1560/2316  fail=808  1.30/s
  1580/2316  fail=828  1.29/s
  1600/2316  fail=848  1.29/s
  1620/2316  fail=868  1.29/s
  1640/2316  fail=888  1.29/s
  1660/2316  fail=908  1.29/s
  1680/2316  fail=928  1.28/s
  1700/2316  fail=948  1.28/s
  1720/2316  fail=968  1.28/s
  1740/2316  fail=988  1.28/s
  1760/2316  fail=1008  1.28/s
  1780/2316  fail=1028  1.28/s
  1800/2316  fail=1048  1.28/s
  1820/2316  fail=1068  1.28/s
  1840/2316  fail=1088  1.28/s
  1860/2316  fail=1108  1.27/s
  1880/2316  fail=1128  1.27/s
  1900/2316  fail=1148  1.27/s
  1920/2316  fail=1168  1.27/s
  1940/2316  fail=1188  1.27/s
  1960/2316  fail=1208  1.27/s
  1980/2316  fail=1228  1.27/s
  2000/2316  fail=1248  1.27/s
  2020/2316  fail=1268  1.26/s
  2040/2316  fail=1288  1.26/s
  2060/2316  fail=1308  1.26/s
  2080/2316  fail=1328  1.26/s
  2100/2316  fail=1348  1.26/s
  2120/2316  fail=1368  1.26/s
  2140/2316  fail=1388  1.25/s
  2160/2316  fail=1408  1.25/s
  2180/2316  fail=1428  1.25/s
  2200/2316  fail=1448  1.25/s
  2220/2316  fail=1468  1.25/s
  2240/2316  fail=1488  1.25/s
  2260/2316  fail=1508  1.25/s
  2280/2316  fail=1528  1.25/s
  2300/2316  fail=1548  1.25/s
  2316/2316  fail=1564  1.25/s
done in 1854s, failures=1564
wrote /Users/joseph/phi-map/equanimity_factorial/data/factorial_raw.jsonl
