band_version=v4  prompts=679  todo=1564
  40/1564 fail=0 0.38/s eta=67min
  80/1564 fail=0 0.37/s eta=67min
  120/1564 fail=0 0.38/s eta=63min
  160/1564 fail=0 0.39/s eta=60min
  200/1564 fail=0 0.39/s eta=59min
  240/1564 fail=0 0.38/s eta=57min
  280/1564 fail=0 0.39/s eta=55min
  320/1564 fail=0 0.38/s eta=54min
  360/1564 fail=0 0.38/s eta=52min
  400/1564 fail=0 0.38/s eta=50min
  440/1564 fail=0 0.38/s eta=49min
  480/1564 fail=0 0.38/s eta=48min
  520/1564 fail=0 0.38/s eta=46min
  560/1564 fail=0 0.38/s eta=44min
  600/1564 fail=0 0.38/s eta=42min
  640/1564 fail=0 0.38/s eta=41min
  680/1564 fail=0 0.37/s eta=39min
  720/1564 fail=0 0.37/s eta=38min
  760/1564 fail=0 0.37/s eta=36min
  800/1564 fail=0 0.36/s eta=35min
  840/1564 fail=0 0.36/s eta=34min
  880/1564 fail=0 0.36/s eta=32min
  920/1564 fail=0 0.36/s eta=30min
  960/1564 fail=0 0.35/s eta=29min
  1000/1564 fail=0 0.35/s eta=27min
  1040/1564 fail=0 0.35/s eta=25min
  1080/1564 fail=0 0.34/s eta=23min
  1120/1564 fail=0 0.34/s eta=22min
  1160/1564 fail=0 0.34/s eta=20min
  1200/1564 fail=0 0.35/s eta=18min
  1240/1564 fail=0 0.35/s eta=16min
  1280/1564 fail=0 0.35/s eta=14min
  1320/1564 fail=0 0.35/s eta=12min
  1360/1564 fail=0 0.35/s eta=10min
  1400/1564 fail=0 0.35/s eta=8min
  1440/1564 fail=0 0.35/s eta=6min
  1480/1564 fail=0 0.35/s eta=4min
  1520/1564 fail=0 0.35/s eta=2min
  1560/1564 fail=0 0.35/s eta=0min
  1564/1564 fail=0 0.35/s eta=0min
done in 4499s fails=0
