band_version=v5  prompts=544  todo=2176
  40/2176 fail=0 0.39/s eta=92min
  80/2176 fail=0 0.35/s eta=100min
  120/2176 fail=0 0.35/s eta=97min
  160/2176 fail=0 0.35/s eta=96min
  200/2176 fail=0 0.35/s eta=95min
  240/2176 fail=0 0.35/s eta=93min
  280/2176 fail=0 0.34/s eta=93min
  320/2176 fail=0 0.34/s eta=90min
  360/2176 fail=0 0.35/s eta=87min
  400/2176 fail=0 0.34/s eta=87min
  440/2176 fail=0 0.34/s eta=84min
  480/2176 fail=0 0.34/s eta=84min
  520/2176 fail=0 0.34/s eta=82min
  560/2176 fail=0 0.34/s eta=80min
  600/2176 fail=0 0.34/s eta=78min
  640/2176 fail=0 0.34/s eta=76min
  680/2176 fail=0 0.34/s eta=73min
  720/2176 fail=0 0.34/s eta=72min
  760/2176 fail=0 0.34/s eta=70min
  800/2176 fail=0 0.34/s eta=67min
  840/2176 fail=0 0.34/s eta=65min
  880/2176 fail=0 0.34/s eta=63min
  920/2176 fail=0 0.34/s eta=61min
  960/2176 fail=0 0.34/s eta=59min
  1000/2176 fail=0 0.34/s eta=57min
  1040/2176 fail=0 0.34/s eta=55min
  1080/2176 fail=0 0.34/s eta=54min
  1120/2176 fail=0 0.34/s eta=52min
  1160/2176 fail=0 0.34/s eta=50min
  1200/2176 fail=0 0.34/s eta=48min
  1240/2176 fail=0 0.33/s eta=47min
  1280/2176 fail=0 0.33/s eta=45min
  1320/2176 fail=0 0.33/s eta=43min
  1360/2176 fail=0 0.33/s eta=41min
  1400/2176 fail=0 0.33/s eta=39min
  1440/2176 fail=0 0.33/s eta=38min
  1480/2176 fail=0 0.32/s eta=36min
  1520/2176 fail=0 0.32/s eta=34min
  1560/2176 fail=0 0.32/s eta=32min
  1600/2176 fail=0 0.32/s eta=30min
  1640/2176 fail=0 0.32/s eta=28min
  1680/2176 fail=0 0.32/s eta=26min
  1720/2176 fail=0 0.32/s eta=24min
  1760/2176 fail=0 0.32/s eta=22min
  1800/2176 fail=0 0.32/s eta=20min
  1840/2176 fail=0 0.32/s eta=17min
  1880/2176 fail=0 0.32/s eta=15min
  1920/2176 fail=0 0.32/s eta=13min
  1960/2176 fail=0 0.32/s eta=11min
  2000/2176 fail=0 0.32/s eta=9min
  2040/2176 fail=0 0.32/s eta=7min
  2080/2176 fail=0 0.33/s eta=5min
  2120/2176 fail=0 0.33/s eta=3min
  2160/2176 fail=0 0.33/s eta=1min
  2176/2176 fail=0 0.33/s eta=0min
done in 6689s fails=0
